ownership,indownership,marriagestatus,indmarriagestatus,county,hhincome,agequant,agecat,famsize,sex,indsex,indpoverty,degree,inddegree
Rent,0,Not married,0,Fayette,55100,30,30-39,5,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,35000,24,18-29,4,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,29000,30,30-39,2,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,99400,37,30-39,7,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,74720,19,18-29,4,male,1,0,No College Degree,0
Own,1,Married,1,Boone,238650,49,40-49,5,female,0,0,College Degree,1
Own,1,Married,1,Kenton,82230,58,50-59,2,female,0,0,College Degree,1
Own,1,Married,1,Fayette,172000,51,50-59,3,male,1,0,College Degree,1
Own,1,Not married,0,Fayette,136000,38,30-39,1,male,1,0,College Degree,1
Own,1,Not married,0,Fayette,143000,56,50-59,2,female,0,0,College Degree,1
Rent,0,Not married,0,Fayette,49000,24,18-29,1,female,0,1,College Degree,1
Rent,0,Not married,0,Jefferson,26200,23,18-29,12,female,0,1,No College Degree,0
Own,1,Not married,0,Jefferson,131900,24,18-29,5,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,94300,66,60-69,2,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,490000,37,30-39,4,female,0,0,College Degree,1
Own,1,Married,1,Fayette,125520,59,50-59,4,male,1,0,College Degree,1
Rent,0,Married,1,Jefferson,56000,56,50-59,3,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,41600,21,18-29,1,male,1,1,College Degree,1
Own,1,Married,1,Kenton,158030,53,50-59,3,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,48990,41,40-49,8,female,0,0,No College Degree,0
Rent,0,Not married,0,Warren,54800,48,40-49,3,female,0,0,No College Degree,0
